과목,학기,제목,연구자1,연구자2
수학,1,레이싱 코너링에서의 최단주행거리 및 최단주행시간에 대한 고찰,,
수학,1,3D 지뢰찾기에 대한 수학적 접근-집합론을 중심으로,,
수학,1,수직거리를 이용한 경사좌표계의 특징에 대한 고찰,,
수학,1,반켈 엔진의 기하학적 특징 파악 및 확장,,
수학,1,U-분할수의 해석과 U-분할수의 생성함수의 해석,,
수학,2,모든 원소의 중복도가 2인 중복집합(multiset)의 크기 2인 중복집합들로의 분할과 분배에 대한 연구,,
수학,2,Braess's parabox를 이용한 교통체증 해결,,
수학,2,횡단보도 사거리에서의 보행자의 최단 시간과 경로 알고리즘 제의,,
물리,1,Stick-Slip 현상과 정상파 사이의 관계,,
물리,1,낙하 실험을 통한 용액의 농도에 따른 저항력 측정,,
물리,1,역토크 감소를 통한 수직형 풍력 발전기 효율 향상 연구,,
물리,1,광자 터널링에 의한 프리즘 경계면에서 레이저 투과현상 탐구,,
물리,1,무아레 무늬를 활용한 카메라의 왜곡수차 측정,,
물리,1,힘과 각도에 따른 테이프가 떼어지는 속력과 운동 모형 분석,,
물리,1,렌즈 어레이용 정규 테셀레이션 액체렌즈에 관한 탐구,,
물리,1,4족 보행 동물의 보행 패턴에 따른 효율성에 대한 탐구,,
물리,2,Gaussian function을 이용한 알갱이계의 쌓임에 대한 정량적 분석,,
물리,2,수직판 하부의 형태에 따른 관 속 유체의 흐름 모델링,,
물리,2,로프의 종류와 매듭법에 따른 매듭의 강도 분석,,
물리,2,하절기 지표면과 지하층의 온도 차에 의한 발전 및 이를 이용한 아스팔트 냉각 연구,,
화학,1,agar을 담채로 사용한 타닌산 혼합물의 흡착과 Langmuir흡착등온식을 이용한 복잡한 표면적 계산,,
화학,1,브로컬리 새싹 추출물의 자외선 차단 성분으로서의 활용 가능성 연구,,
화학,1,겔을 이용한 펜톤 산화공정의 효율성 증대 및 잔존물질의 유해성 탐구,,
화학,1,TiO2 담지 실리카겔을 이용한 흡착식 담수화 시스템의 효율 및 fouling 개선 방안,,
화학,1,아라고나이트를 이용한 연수기의 연수용량 증가 탐구,,
화학,1,플루오린 검출을 위한 간단하고 효율적인 화학센서(chemosensor) 개발,,
화학,2,"단백질을 이용한 고성능의 유화제 제작을 통한 에멀션 유체의 흡수 성능과 표면 장력, 점성 탐구 및 야누스 입자의 단순화 가능성에 관한 연구",,
화학,2,알긴산 bead의 중금속 흡착 효율 개선에 영향을 미치는 요인 분석,,
화학,2,자기장 내에서의 화학반응 탐구,,
화학,2,고흡수성 수지의 탈수 및 아크릴산 단량체 제거를 통한 재활용 가능성에 관한 연구,,
생명,1,Paracoccus denitrificars 균의 바이오 필름을 이용한 수중 질소제거 탐구,,
생명,1,식물에서의 GABA농도 조절이 GABA 의존성 스트레스 반응 경로에 끼치는 영향과 그 경로에 관련된 물질의 특징에 관한 연구,,
생명,1,Sodium Sulfite의 처리 시간에 따른 식물의 광합성 능력 저해 메커니즘,,
생명,1,Shewanella algae의 생광물화 작용에 의한 수질정화효과 연구,,
생명,1,초음파에 의한 대장균의 살균효과에 관한 연구,,
생명,2,Bacilius Licheniformis를 이용한 제설제에 의한 식물의 염스트레스 완화,,
생명,2,혈청일부민을 Vitamin C의 Carrier로 이용한 콜라겐 Hydroxylation 향상연구,,
생명,2,갈색거저리(Mealworm- Tenebrio molitor)유지를 이용한 바이오디젤의 수율 탐구,,
지구과학,1,화재에 취약 및 유리한 건물 구조에 대한 탐구,,
지구과학,1,안산의 지질구조 및 풍화 상태 연구,,
지구과학,1,인공 구조물 설치를 통한 진동수주형 파력발전기의 발전효율 향상 연구,,
지구과학,1,입상층의 충격 흡수를 이용한 교량의 방진 설계,,
지구과학,2,게껍질의 키토산 성분을 이용한 친환경 녹조 제거,,
정보,1,Single RGB Camera와 Real-time Object Detection Algorithm을 이용한물체 회피 기술,,
정보,1,머신러닝(Tensorflow -Unity)을 이용한 Freudian Subconcious Model의 구현 및 지향성/적합성 탐구,,
정보,2,강화학습을 이용한 게임 밸런스 판정방법,,
정보,2,Messy Genetic Algorithm을 이용한 인공신경망 구조 설계,,
